カテゴリ名,ディレクトリID
CD・DVD >> DVD >> スポーツ >> テニス,568731
CD・DVD >> DVD >> スポーツ >> バスケットボール,211012
CD・DVD >> DVD >> スポーツ >> フィッシング,211013
CD・DVD >> DVD >> スポーツ >> フィットネス・ヨガ,406288
CD・DVD >> DVD >> スポーツ >> マリンスポーツ,211005
CD・DVD >> DVD >> スポーツ >> モータースポーツ,508034
CD・DVD >> DVD >> スポーツ >> 格闘技・武道 >> キックボクシング,508026
CD・DVD >> DVD >> スポーツ >> 格闘技・武道 >> その他,211002
CD・DVD >> DVD >> スポーツ >> 格闘技・武道 >> プロレス,400040
CD・DVD >> DVD >> スポーツ >> 格闘技・武道 >> ボクシング,508027
CD・DVD >> DVD >> スポーツ >> 格闘技・武道 >> ムエタイ,508028
CD・DVD >> DVD >> スポーツ >> 格闘技・武道 >> 空手,508029
CD・DVD >> DVD >> スポーツ >> 格闘技・武道 >> 剣道,508030
CD・DVD >> DVD >> スポーツ >> 格闘技・武道 >> 柔術,508031
CD・DVD >> DVD >> スポーツ >> 格闘技・武道 >> 柔道,508032
CD・DVD >> DVD >> スポーツ >> 格闘技・武道 >> 大相撲,508033
CD・DVD >> DVD >> スポーツ >> 自転車,211007
CD・DVD >> DVD >> スポーツ >> 野球,211014
CD・DVD >> DVD >> その他,101950
CD・DVD >> DVD >> ミュージック >> インストゥルメンタル,300351
CD・DVD >> DVD >> ミュージック >> カラオケ,508052
CD・DVD >> DVD >> ミュージック >> クラシック,300349
CD・DVD >> DVD >> ミュージック >> その他,101378
CD・DVD >> DVD >> ミュージック >> 韓国（K-POP）・アジア,562677
CD・DVD >> DVD >> ミュージック >> 邦楽 >> R&B・ディスコ,400057
CD・DVD >> DVD >> ミュージック >> 邦楽 >> インディーズ,400056
CD・DVD >> DVD >> ミュージック >> 邦楽 >> ジャズ・ブルース,300340
CD・DVD >> DVD >> ミュージック >> 邦楽 >> その他,300345
CD・DVD >> DVD >> ミュージック >> 邦楽 >> テクノ・リミックス・ハウス,508048
CD・DVD >> DVD >> ミュージック >> 邦楽 >> ヘビーメタル・ハードロック,400055
CD・DVD >> DVD >> ミュージック >> 邦楽 >> ラップ・ヒップホップ,508047
CD・DVD >> DVD >> ミュージック >> 邦楽 >> ロック・ポップス,300339
CD・DVD >> DVD >> ミュージック >> 邦楽 >> 演歌・歌謡曲,508051
CD・DVD >> DVD >> ミュージック >> 邦楽 >> 童謡・民謡,508050
CD・DVD >> DVD >> ミュージック >> 洋楽 >> R&B・ディスコ,400061
CD・DVD >> DVD >> ミュージック >> 洋楽 >> インディーズ,400060
CD・DVD >> DVD >> ミュージック >> 洋楽 >> ジャズ・ブルース,300348
CD・DVD >> DVD >> ミュージック >> 洋楽 >> その他,300353
